start,end,avg_speed
2018-08-14T07:35:00.000Z,2018-08-14T07:40:00.000Z,0.0
2018-08-16T23:25:00.000Z,2018-08-16T23:30:00.000Z,43.34
2018-08-17T15:35:00.000Z,2018-08-17T15:40:00.000Z,0.0
2018-08-16T07:45:00.000Z,2018-08-16T07:50:00.000Z,202.66
2018-08-14T10:25:00.000Z,2018-08-14T10:30:00.000Z,0.0
2018-08-18T20:10:00.000Z,2018-08-18T20:15:00.000Z,0.0
2018-08-17T07:45:00.000Z,2018-08-17T07:50:00.000Z,0.0
2018-08-16T16:55:00.000Z,2018-08-16T17:00:00.000Z,0.0
2018-08-16T17:00:00.000Z,2018-08-16T17:05:00.000Z,0.0
2018-08-16T19:05:00.000Z,2018-08-16T19:10:00.000Z,0.0
2018-08-17T00:40:00.000Z,2018-08-17T00:45:00.000Z,0.0
2018-08-16T12:10:00.000Z,2018-08-16T12:15:00.000Z,84.65
2018-08-16T15:10:00.000Z,2018-08-16T15:15:00.000Z,0.0
2018-08-17T10:30:00.000Z,2018-08-17T10:35:00.000Z,60.01
2018-08-14T02:10:00.000Z,2018-08-14T02:15:00.000Z,0.0
2018-08-16T07:55:00.000Z,2018-08-16T08:00:00.000Z,199.38
2018-08-17T03:05:00.000Z,2018-08-17T03:10:00.000Z,214.91
2018-08-17T14:20:00.000Z,2018-08-17T14:25:00.000Z,175.25
2018-08-17T15:00:00.000Z,2018-08-17T15:05:00.000Z,0.0
2018-08-17T17:05:00.000Z,2018-08-17T17:10:00.000Z,0.0
2018-08-17T08:45:00.000Z,2018-08-17T08:50:00.000Z,75.44
2018-08-14T07:00:00.000Z,2018-08-14T07:05:00.000Z,0.0
2018-08-16T23:50:00.000Z,2018-08-16T23:55:00.000Z,0.0
2018-08-17T07:25:00.000Z,2018-08-17T07:30:00.000Z,0.0
2018-08-14T02:40:00.000Z,2018-08-14T02:45:00.000Z,0.0
2018-08-14T05:00:00.000Z,2018-08-14T05:05:00.000Z,0.0
2018-08-14T11:45:00.000Z,2018-08-14T11:50:00.000Z,0.0
2018-08-16T10:05:00.000Z,2018-08-16T10:10:00.000Z,0.0
2018-08-16T10:55:00.000Z,2018-08-16T11:00:00.000Z,0.0
2018-08-16T22:40:00.000Z,2018-08-16T22:45:00.000Z,30.0
2018-08-16T23:20:00.000Z,2018-08-16T23:25:00.000Z,52.27
2018-08-17T00:05:00.000Z,2018-08-17T00:10:00.000Z,0.0
2018-08-17T07:10:00.000Z,2018-08-17T07:15:00.000Z,0.0
2018-08-17T17:35:00.000Z,2018-08-17T17:40:00.000Z,0.0
2018-08-14T06:25:00.000Z,2018-08-14T06:30:00.000Z,0.0
2018-08-14T06:45:00.000Z,2018-08-14T06:50:00.000Z,0.0
2018-08-17T07:50:00.000Z,2018-08-17T07:55:00.000Z,0.0
2018-08-17T10:20:00.000Z,2018-08-17T10:25:00.000Z,0.0
2018-08-14T06:50:00.000Z,2018-08-14T06:55:00.000Z,0.0
2018-08-16T08:10:00.000Z,2018-08-16T08:15:00.000Z,12.22
2018-08-16T17:45:00.000Z,2018-08-16T17:50:00.000Z,89.45
2018-08-17T07:40:00.000Z,2018-08-17T07:45:00.000Z,0.0
2018-08-17T16:55:00.000Z,2018-08-17T17:00:00.000Z,0.0
2018-08-14T05:45:00.000Z,2018-08-14T05:50:00.000Z,0.0
2018-08-14T06:20:00.000Z,2018-08-14T06:25:00.000Z,0.0
2018-08-17T03:10:00.000Z,2018-08-17T03:15:00.000Z,215.69
2018-08-16T07:20:00.000Z,2018-08-16T07:25:00.000Z,85.58
2018-08-16T11:35:00.000Z,2018-08-16T11:40:00.000Z,0.0
2018-08-17T03:20:00.000Z,2018-08-17T03:25:00.000Z,67.52
2018-08-16T18:10:00.000Z,2018-08-16T18:15:00.000Z,0.0
2018-08-16T22:00:00.000Z,2018-08-16T22:05:00.000Z,0.0
2018-08-16T22:50:00.000Z,2018-08-16T22:55:00.000Z,83.7
2018-08-17T01:55:00.000Z,2018-08-17T02:00:00.000Z,0.0
2018-08-14T00:50:00.000Z,2018-08-14T00:55:00.000Z,134.4
2018-08-16T05:40:00.000Z,2018-08-16T05:45:00.000Z,0.0
2018-08-16T10:20:00.000Z,2018-08-16T10:25:00.000Z,0.0
2018-08-17T10:25:00.000Z,2018-08-17T10:30:00.000Z,0.0
2018-08-14T02:25:00.000Z,2018-08-14T02:30:00.000Z,0.0
2018-08-18T20:15:00.000Z,2018-08-18T20:20:00.000Z,12.58
2018-08-13T20:45:00.000Z,2018-08-13T20:50:00.000Z,0.0
2018-08-14T09:35:00.000Z,2018-08-14T09:40:00.000Z,0.0
2018-08-16T08:50:00.000Z,2018-08-16T08:55:00.000Z,0.0
2018-08-16T22:15:00.000Z,2018-08-16T22:20:00.000Z,180.32
2018-08-16T14:15:00.000Z,2018-08-16T14:20:00.000Z,0.0
2018-08-16T17:25:00.000Z,2018-08-16T17:30:00.000Z,205.06
2018-08-17T02:35:00.000Z,2018-08-17T02:40:00.000Z,0.0
2018-08-17T09:05:00.000Z,2018-08-17T09:10:00.000Z,0.0
2018-08-16T10:00:00.000Z,2018-08-16T10:05:00.000Z,0.0
2018-08-17T03:00:00.000Z,2018-08-17T03:05:00.000Z,215.56
2018-08-17T10:55:00.000Z,2018-08-17T11:00:00.000Z,0.0
2018-08-14T07:05:00.000Z,2018-08-14T07:10:00.000Z,0.0
2018-08-17T15:50:00.000Z,2018-08-17T15:55:00.000Z,89.82
2018-08-14T04:10:00.000Z,2018-08-14T04:15:00.000Z,0.0
2018-08-14T11:15:00.000Z,2018-08-14T11:20:00.000Z,0.0
2018-08-16T18:30:00.000Z,2018-08-16T18:35:00.000Z,13.4
2018-08-17T02:50:00.000Z,2018-08-17T02:55:00.000Z,201.43
